name,id,properties
minecraft:air,0, 
minecraft:stone,1, 
minecraft:granite,2, 
minecraft:polished_granite,3, 
minecraft:diorite,4, 
minecraft:polished_diorite,5, 
minecraft:andesite,6, 
minecraft:polished_andesite,7, 
minecraft:grass_block,8,{'snowy': 'true'}
 ,9,{'snowy': 'false'}
minecraft:dirt,10, 
minecraft:coarse_dirt,11, 
minecraft:podzol,12,{'snowy': 'true'}
 ,13,{'snowy': 'false'}
minecraft:cobblestone,14, 
minecraft:oak_planks,15, 
minecraft:spruce_planks,16, 
minecraft:birch_planks,17, 
minecraft:jungle_planks,18, 
minecraft:acacia_planks,19, 
minecraft:dark_oak_planks,20, 
minecraft:oak_sapling,21,{'stage': '0'}
 ,22,{'stage': '1'}
minecraft:spruce_sapling,23,{'stage': '0'}
 ,24,{'stage': '1'}
minecraft:birch_sapling,25,{'stage': '0'}
 ,26,{'stage': '1'}
minecraft:jungle_sapling,27,{'stage': '0'}
 ,28,{'stage': '1'}
minecraft:acacia_sapling,29,{'stage': '0'}
 ,30,{'stage': '1'}
minecraft:dark_oak_sapling,31,{'stage': '0'}
 ,32,{'stage': '1'}
minecraft:bedrock,33, 
minecraft:water,34,{'level': '0'}
 ,35,{'level': '1'}
 ,36,{'level': '2'}
 ,37,{'level': '3'}
 ,38,{'level': '4'}
 ,39,{'level': '5'}
 ,40,{'level': '6'}
 ,41,{'level': '7'}
 ,42,{'level': '8'}
 ,43,{'level': '9'}
 ,44,{'level': '10'}
 ,45,{'level': '11'}
 ,46,{'level': '12'}
 ,47,{'level': '13'}
 ,48,{'level': '14'}
 ,49,{'level': '15'}
minecraft:lava,50,{'level': '0'}
 ,51,{'level': '1'}
 ,52,{'level': '2'}
 ,53,{'level': '3'}
 ,54,{'level': '4'}
 ,55,{'level': '5'}
 ,56,{'level': '6'}
 ,57,{'level': '7'}
 ,58,{'level': '8'}
 ,59,{'level': '9'}
 ,60,{'level': '10'}
 ,61,{'level': '11'}
 ,62,{'level': '12'}
 ,63,{'level': '13'}
 ,64,{'level': '14'}
 ,65,{'level': '15'}
minecraft:sand,66, 
minecraft:red_sand,67, 
minecraft:gravel,68, 
minecraft:gold_ore,69, 
minecraft:iron_ore,70, 
minecraft:coal_ore,71, 
minecraft:nether_gold_ore,72, 
minecraft:oak_log,73,{'axis': 'x'}
 ,74,{'axis': 'y'}
 ,75,{'axis': 'z'}
minecraft:spruce_log,76,{'axis': 'x'}
 ,77,{'axis': 'y'}
 ,78,{'axis': 'z'}
minecraft:birch_log,79,{'axis': 'x'}
 ,80,{'axis': 'y'}
 ,81,{'axis': 'z'}
minecraft:jungle_log,82,{'axis': 'x'}
 ,83,{'axis': 'y'}
 ,84,{'axis': 'z'}
minecraft:acacia_log,85,{'axis': 'x'}
 ,86,{'axis': 'y'}
 ,87,{'axis': 'z'}
minecraft:dark_oak_log,88,{'axis': 'x'}
 ,89,{'axis': 'y'}
 ,90,{'axis': 'z'}
minecraft:stripped_spruce_log,91,{'axis': 'x'}
 ,92,{'axis': 'y'}
 ,93,{'axis': 'z'}
minecraft:stripped_birch_log,94,{'axis': 'x'}
 ,95,{'axis': 'y'}
 ,96,{'axis': 'z'}
minecraft:stripped_jungle_log,97,{'axis': 'x'}
 ,98,{'axis': 'y'}
 ,99,{'axis': 'z'}
minecraft:stripped_acacia_log,100,{'axis': 'x'}
 ,101,{'axis': 'y'}
 ,102,{'axis': 'z'}
minecraft:stripped_dark_oak_log,103,{'axis': 'x'}
 ,104,{'axis': 'y'}
 ,105,{'axis': 'z'}
minecraft:stripped_oak_log,106,{'axis': 'x'}
 ,107,{'axis': 'y'}
 ,108,{'axis': 'z'}
minecraft:oak_wood,109,{'axis': 'x'}
 ,110,{'axis': 'y'}
 ,111,{'axis': 'z'}
minecraft:spruce_wood,112,{'axis': 'x'}
 ,113,{'axis': 'y'}
 ,114,{'axis': 'z'}
minecraft:birch_wood,115,{'axis': 'x'}
 ,116,{'axis': 'y'}
 ,117,{'axis': 'z'}
minecraft:jungle_wood,118,{'axis': 'x'}
 ,119,{'axis': 'y'}
 ,120,{'axis': 'z'}
minecraft:acacia_wood,121,{'axis': 'x'}
 ,122,{'axis': 'y'}
 ,123,{'axis': 'z'}
minecraft:dark_oak_wood,124,{'axis': 'x'}
 ,125,{'axis': 'y'}
 ,126,{'axis': 'z'}
minecraft:stripped_oak_wood,127,{'axis': 'x'}
 ,128,{'axis': 'y'}
 ,129,{'axis': 'z'}
minecraft:stripped_spruce_wood,130,{'axis': 'x'}
 ,131,{'axis': 'y'}
 ,132,{'axis': 'z'}
minecraft:stripped_birch_wood,133,{'axis': 'x'}
 ,134,{'axis': 'y'}
 ,135,{'axis': 'z'}
minecraft:stripped_jungle_wood,136,{'axis': 'x'}
 ,137,{'axis': 'y'}
 ,138,{'axis': 'z'}
minecraft:stripped_acacia_wood,139,{'axis': 'x'}
 ,140,{'axis': 'y'}
 ,141,{'axis': 'z'}
minecraft:stripped_dark_oak_wood,142,{'axis': 'x'}
 ,143,{'axis': 'y'}
 ,144,{'axis': 'z'}
minecraft:oak_leaves,145,"{'distance': '1', 'persistent': 'true'}"
 ,146,"{'distance': '1', 'persistent': 'false'}"
 ,147,"{'distance': '2', 'persistent': 'true'}"
 ,148,"{'distance': '2', 'persistent': 'false'}"
 ,149,"{'distance': '3', 'persistent': 'true'}"
 ,150,"{'distance': '3', 'persistent': 'false'}"
 ,151,"{'distance': '4', 'persistent': 'true'}"
 ,152,"{'distance': '4', 'persistent': 'false'}"
 ,153,"{'distance': '5', 'persistent': 'true'}"
 ,154,"{'distance': '5', 'persistent': 'false'}"
 ,155,"{'distance': '6', 'persistent': 'true'}"
 ,156,"{'distance': '6', 'persistent': 'false'}"
 ,157,"{'distance': '7', 'persistent': 'true'}"
 ,158,"{'distance': '7', 'persistent': 'false'}"
minecraft:spruce_leaves,159,"{'distance': '1', 'persistent': 'true'}"
 ,160,"{'distance': '1', 'persistent': 'false'}"
 ,161,"{'distance': '2', 'persistent': 'true'}"
 ,162,"{'distance': '2', 'persistent': 'false'}"
 ,163,"{'distance': '3', 'persistent': 'true'}"
 ,164,"{'distance': '3', 'persistent': 'false'}"
 ,165,"{'distance': '4', 'persistent': 'true'}"
 ,166,"{'distance': '4', 'persistent': 'false'}"
 ,167,"{'distance': '5', 'persistent': 'true'}"
 ,168,"{'distance': '5', 'persistent': 'false'}"
 ,169,"{'distance': '6', 'persistent': 'true'}"
 ,170,"{'distance': '6', 'persistent': 'false'}"
 ,171,"{'distance': '7', 'persistent': 'true'}"
 ,172,"{'distance': '7', 'persistent': 'false'}"
minecraft:birch_leaves,173,"{'distance': '1', 'persistent': 'true'}"
 ,174,"{'distance': '1', 'persistent': 'false'}"
 ,175,"{'distance': '2', 'persistent': 'true'}"
 ,176,"{'distance': '2', 'persistent': 'false'}"
 ,177,"{'distance': '3', 'persistent': 'true'}"
 ,178,"{'distance': '3', 'persistent': 'false'}"
 ,179,"{'distance': '4', 'persistent': 'true'}"
 ,180,"{'distance': '4', 'persistent': 'false'}"
 ,181,"{'distance': '5', 'persistent': 'true'}"
 ,182,"{'distance': '5', 'persistent': 'false'}"
 ,183,"{'distance': '6', 'persistent': 'true'}"
 ,184,"{'distance': '6', 'persistent': 'false'}"
 ,185,"{'distance': '7', 'persistent': 'true'}"
 ,186,"{'distance': '7', 'persistent': 'false'}"
minecraft:jungle_leaves,187,"{'distance': '1', 'persistent': 'true'}"
 ,188,"{'distance': '1', 'persistent': 'false'}"
 ,189,"{'distance': '2', 'persistent': 'true'}"
 ,190,"{'distance': '2', 'persistent': 'false'}"
 ,191,"{'distance': '3', 'persistent': 'true'}"
 ,192,"{'distance': '3', 'persistent': 'false'}"
 ,193,"{'distance': '4', 'persistent': 'true'}"
 ,194,"{'distance': '4', 'persistent': 'false'}"
 ,195,"{'distance': '5', 'persistent': 'true'}"
 ,196,"{'distance': '5', 'persistent': 'false'}"
 ,197,"{'distance': '6', 'persistent': 'true'}"
 ,198,"{'distance': '6', 'persistent': 'false'}"
 ,199,"{'distance': '7', 'persistent': 'true'}"
 ,200,"{'distance': '7', 'persistent': 'false'}"
minecraft:acacia_leaves,201,"{'distance': '1', 'persistent': 'true'}"
 ,202,"{'distance': '1', 'persistent': 'false'}"
 ,203,"{'distance': '2', 'persistent': 'true'}"
 ,204,"{'distance': '2', 'persistent': 'false'}"
 ,205,"{'distance': '3', 'persistent': 'true'}"
 ,206,"{'distance': '3', 'persistent': 'false'}"
 ,207,"{'distance': '4', 'persistent': 'true'}"
 ,208,"{'distance': '4', 'persistent': 'false'}"
 ,209,"{'distance': '5', 'persistent': 'true'}"
 ,210,"{'distance': '5', 'persistent': 'false'}"
 ,211,"{'distance': '6', 'persistent': 'true'}"
 ,212,"{'distance': '6', 'persistent': 'false'}"
 ,213,"{'distance': '7', 'persistent': 'true'}"
 ,214,"{'distance': '7', 'persistent': 'false'}"
minecraft:dark_oak_leaves,215,"{'distance': '1', 'persistent': 'true'}"
 ,216,"{'distance': '1', 'persistent': 'false'}"
 ,217,"{'distance': '2', 'persistent': 'true'}"
 ,218,"{'distance': '2', 'persistent': 'false'}"
 ,219,"{'distance': '3', 'persistent': 'true'}"
 ,220,"{'distance': '3', 'persistent': 'false'}"
 ,221,"{'distance': '4', 'persistent': 'true'}"
 ,222,"{'distance': '4', 'persistent': 'false'}"
 ,223,"{'distance': '5', 'persistent': 'true'}"
 ,224,"{'distance': '5', 'persistent': 'false'}"
 ,225,"{'distance': '6', 'persistent': 'true'}"
 ,226,"{'distance': '6', 'persistent': 'false'}"
 ,227,"{'distance': '7', 'persistent': 'true'}"
 ,228,"{'distance': '7', 'persistent': 'false'}"
minecraft:sponge,229, 
minecraft:wet_sponge,230, 
minecraft:glass,231, 
minecraft:lapis_ore,232, 
minecraft:lapis_block,233, 
minecraft:dispenser,234,"{'facing': 'north', 'triggered': 'true'}"
 ,235,"{'facing': 'north', 'triggered': 'false'}"
 ,236,"{'facing': 'east', 'triggered': 'true'}"
 ,237,"{'facing': 'east', 'triggered': 'false'}"
 ,238,"{'facing': 'south', 'triggered': 'true'}"
 ,239,"{'facing': 'south', 'triggered': 'false'}"
 ,240,"{'facing': 'west', 'triggered': 'true'}"
 ,241,"{'facing': 'west', 'triggered': 'false'}"
 ,242,"{'facing': 'up', 'triggered': 'true'}"
 ,243,"{'facing': 'up', 'triggered': 'false'}"
 ,244,"{'facing': 'down', 'triggered': 'true'}"
 ,245,"{'facing': 'down', 'triggered': 'false'}"
minecraft:sandstone,246, 
minecraft:chiseled_sandstone,247, 
minecraft:cut_sandstone,248, 
minecraft:note_block,249,"{'instrument': 'harp', 'note': '0', 'powered': 'true'}"
 ,250,"{'instrument': 'harp', 'note': '0', 'powered': 'false'}"
 ,251,"{'instrument': 'harp', 'note': '1', 'powered': 'true'}"
 ,252,"{'instrument': 'harp', 'note': '1', 'powered': 'false'}"
 ,253,"{'instrument': 'harp', 'note': '2', 'powered': 'true'}"
 ,254,"{'instrument': 'harp', 'note': '2', 'powered': 'false'}"
 ,255,"{'instrument': 'harp', 'note': '3', 'powered': 'true'}"
 ,256,"{'instrument': 'harp', 'note': '3', 'powered': 'false'}"
 ,257,"{'instrument': 'harp', 'note': '4', 'powered': 'true'}"
 ,258,"{'instrument': 'harp', 'note': '4', 'powered': 'false'}"
 ,259,"{'instrument': 'harp', 'note': '5', 'powered': 'true'}"
 ,260,"{'instrument': 'harp', 'note': '5', 'powered': 'false'}"
